[Result Details]
Result Name,[72.36] TREV2 - MV208 40kw 80kmh, Endurance - MI 2024
Date Created,7/9/2024 3:46:22 PM
Track,Endurance - MI 2024
Track Configuration,Closed Circuit
Vehicle,TREV2 - MV208

[KPI Values]
Lap time [s],72.3600866911337,
Percent in Corners [%],53.2362865116212,
Percent Accelerating [%],51.8801507553443,
Percent Braking [%],34.8742269334515,
Percent Coasting [%],0.390753164364203,
Percent 100% Throttle [%],34.6480011354594,
Percent TCS Enabled [%],28.2155183720528,
Lowest Speed [km/h],21.2234320471117,
Highest Speed [km/h],79.9975153310105,
Average Speed [km/h],56.1469254604926,
Energy Spent [kJ],1312.43734689004,
Fuel Consumption [kg],1.00956718991541,
Gear Shifts [-],0,
Maximum Lateral Acceleration [m/s^2],17.4443242323237,
Maximum Longitudinal Acceleration [m/s^2],10.2662450478847,
Maximum Longitudinal Deceleration [m/s^2],-19.1702659588664,
Time in Sector 1 [s],72.3600866911337,
Maximum Speed in Sector 1 [km/h],79.9975153310105,
Minimum Speed in Sector 1 [km/h],21.2234320471117,
Percent in Gear 1 [%],100,

[Vehicle Parameters]
Mass Longitudinal Friction [kg],0,
Vehicle Mass [kg],340,
Drag Coefficient [-],1.07,
Downforce Coefficient [-],2.83,
Aero Efficiency [-],2.64485981308411,
Frontal Area [m^2],0.946,
Drivetrain Efficiency [%],95,
Tire Rolling Radius [m],0.2,
Air Density [kg/m^3],1.2,
Rev Limit [rpm],5305,
Longitudinal Friction [-],1.5,
Lateral Friction [-],1.5,
Final Drive Ratio [-],5,
Fuel Energy Density [J/kg],1300000,
Engine Thermal Efficiency [%],100,
Tire Rolling Drag [-],0.015,
Power Scaling Factor [%],100,
Aero Scaling Factor [%],100,
Grip Scaling Factor [%],100,
Mass Lateral Friction [kg],0,
Load Sensitivity Lateral Friction [-],0,
Load Sensitivity Longitudinal Friction [-],0,
Gear Ratio Data [-],0,
Gear Shift Points [rpm],0,
Torque Data [N.m],0,
RPM Data [rpm],0,

[Vehicle KPIs]
Top Speed [km/h],79.9975153310105,
Acceleration Time To Speed [27.778 km/h] [s],0,
Acceleration Time For Distance [100 m] [s],24.2928883584474,
Deceleration Time For Speed [27.778 km/h] [s],0,
Deceleration Distance For Speed [27.778 km/h] [m],0,

[Simulation Results]
speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,kW,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
56.6253268968289,0,0.25,0,7.49689834756118,1,5,3755.08361659365,0,0,397.4159243417,0,0,0,0,0,1,0,0,0,0,0,0,6.12303176911189E-17,0.25,0,3732.8159243417,
57.0537790924977,0.0158939479791401,0.5,0,7.48803877759644,1,5,3783.49623526835,115.077057585869,45.5943126536028,403.452725108916,152.542196419272,0,100,100,0,1,0,1.5,1.5,0,0,0,0.00210398584141094,0.52329544905459,0,3738.85272510892,
57.4754264014306,0.0316685384500165,0.75,0,7.42486803049553,1,5,3811.45759087588,114.285411220211,45.6152968148922,409.438073045627,154.805207829972,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,4.25233180451715E-06,2.82291414207368E-05,0.00420797168282182,0.79659089810918,0,3744.83807304563,
57.8904730568906,0.047327404444573,1,0,7.36264922810104,1,5,3838.98122705513,113.506157636915,45.6314247254929,415.372765196112,157.04906669959,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,1.41744393483905E-06,-1.89585097418666E-05,0.00631195752423269,1.06988634716377,0,3750.77276519611,
58.2991135094834,0.0628740039535379,1.25,0,7.30135466382114,1,5,3866.08003871241,112.738931753333,45.6429151335101,421.257574358522,159.274065216826,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,4.72481311613017E-07,-6.36513820558629E-06,0.00841594336564357,1.34318179621836,0,3756.65757435852,
58.7015330716358,0.0783116314888794,1.5,0,7.24095794208663,1,5,3892.76631475967,111.983385643828,45.6499751100341,427.093250293341,161.480486860026,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,1.57493770537672E-07,-2.13668959764964E-06,0.0105199292070545,1.61647724527295,0,3762.49325029334,
59.0979085084252,0.0936434286823478,1.75,0,7.18143389243084,1,5,3919.05177729519,111.239187430481,45.652800842487,432.880520848154,163.668606822447,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,5.24979235125574E-08,-7.17146153859599E-07,0.0126239150484653,1.88977269432754,0,3768.28052084815,
59.4884085801255,0.108872394016573,2,0,7.12275849070222,1,5,3944.9476175822,110.50602026446,45.6515783614989,438.620093006061,165.838692408652,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,1.74993078375191E-08,-2.40662867278346E-07,0.0147279008898762,2.16306814338213,0,3774.02009300606,
59.8731945412101,0.124001391773972,2.25,0,7.06490878669762,1,5,3970.46452914011,109.783581389137,45.6464842079343,444.312653864316,167.991003404529,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,5.83310261250638E-09,-8.0751030169298E-08,0.0168318867312871,2.43636359243672,0,3779.71265386432,
60.2524206000126,0.139033160279001,2.5,0,7.00786283758676,1,5,3995.61273822665,109.071581277068,45.637686045933,449.958871549093,170.125792423155,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,1.94436753750213E-09,-2.70911160349131E-08,0.018935872572698,2.70965904149131,0,3785.35887154909,
