[Result Details]
Result Name,[72.13] TREV2 - MV208, Endurance - MI 2024
Date Created,7/9/2024 7:21:16 PM
Track,Endurance - MI 2024
Track Configuration,Closed Circuit
Vehicle,TREV2 - MV208

[KPI Values]
Lap time [s],72.1305794118828,
Percent in Corners [%],53.3286763987667,
Percent Accelerating [%],50.6447606185425,
Percent Braking [%],35.3957688303785,
Percent Coasting [%],0.391996474709733,
Percent 100% Throttle [%],34.1346366081683,
Percent TCS Enabled [%],28.5270971166509,
Lowest Speed [km/h],21.2234320471117,
Highest Speed [km/h],79.972763801458,
Average Speed [km/h],56.5666249525645,
Energy Spent [kJ],1445.17209913288,
Fuel Consumption [kg],1.11167084548683,
Gear Shifts [-],0,
Maximum Lateral Acceleration [m/s^2],-17.4961107832482,
Maximum Longitudinal Acceleration [m/s^2],9.45944357729651,
Maximum Longitudinal Deceleration [m/s^2],-19.1770706530021,
Time in Sector 1 [s],72.1305794118828,
Maximum Speed in Sector 1 [km/h],79.972763801458,
Minimum Speed in Sector 1 [km/h],21.2234320471117,
Percent in Gear 1 [%],100,

[Vehicle Parameters]
Mass Longitudinal Friction [kg],0,
Vehicle Mass [kg],340,
Drag Coefficient [-],1.07,
Downforce Coefficient [-],2.83,
Aero Efficiency [-],2.64485981308411,
Frontal Area [m^2],0.946,
Drivetrain Efficiency [%],95,
Tire Rolling Radius [m],0.2,
Air Density [kg/m^3],1.2,
Rev Limit [rpm],4895,
Longitudinal Friction [-],1.5,
Lateral Friction [-],1.5,
Final Drive Ratio [-],4.615,
Fuel Energy Density [J/kg],1300000,
Engine Thermal Efficiency [%],100,
Tire Rolling Drag [-],0.015,
Power Scaling Factor [%],100,
Aero Scaling Factor [%],100,
Grip Scaling Factor [%],100,
Mass Lateral Friction [kg],0,
Load Sensitivity Lateral Friction [-],0,
Load Sensitivity Longitudinal Friction [-],0,
Gear Ratio Data [-],0,
Gear Shift Points [rpm],0,
Torque Data [N.m],0,
RPM Data [rpm],0,

[Vehicle KPIs]
Top Speed [km/h],79.972763801458,
Acceleration Time To Speed [27.778 km/h] [s],0,
Acceleration Time For Distance [100 m] [s],22.5281904055965,
Deceleration Time For Speed [27.778 km/h] [s],0,
Deceleration Distance For Speed [27.778 km/h] [m],0,

[Simulation Results]
speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,kW,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
57.6526210206579,0,0.25,0,9.04887062287203,1,4.615,3528.82114461793,0,0,411.966529564562,0,0,0,0,0,1,0,0,0,0,0,0,6.12303176911189E-17,0.25,0,3747.36652956456,
58.1610892666363,0.0156107386631653,0.5,0,9.04769354519424,1,4.615,3559.94364114991,150,55.9194639511513,419.265265178128,158.520789307632,0,100,100,0,1,0,1.5,1.5,0,0,0,0.00210398584141094,0.52329544905459,0,3754.66526517813,
58.6646421895872,0.0310850018062436,0.75,0,9.03925509327852,1,4.615,3590.76527892604,150,56.4036091051968,426.556606869288,161.277586342805,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,4.33486183751148E-06,2.93355273788794E-05,0.00420797168282182,0.79659089810918,0,3761.95660686929,
59.1634072467506,0.046426440301538,1,0,9.03082518986516,1,4.615,3621.29385939222,149.210729536041,56.583842986298,433.840583249323,164.031598613702,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,1.44495394583716E-06,-1.97263409703942E-05,0.00631195752423269,1.06988634716377,0,3769.24058324932,
59.6547195923448,0.061638545923623,1.25,0,8.97151616905736,1,4.615,3651.36627176569,148.096076413318,56.6275236666904,441.07601080242,166.767254967699,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,4.81651315279053E-07,-6.63135124645174E-06,0.00841594336564357,1.34318179621836,0,3776.47601080242,
60.1376279335632,0.0767253656446814,1.5,0,8.89128447042857,1,4.615,3680.92428899431,147.000489674342,56.6636158057116,448.245985176261,169.478164006572,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,1.60550438426351E-07,-2.2288067209942E-06,0.0105199292070545,1.61647724527295,0,3783.64598517626,
60.6124062054725,0.0916910374033725,1.75,0,8.81235773673369,1,4.615,3709.98467818838,145.923347835489,56.6924882698564,455.351604196737,172.164740809367,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,5.35168128087836E-08,-7.48949679304024E-07,0.0126239150484653,1.88977269432754,0,3790.75160419674,
61.0793140939678,0.106539482735654,2,0,8.73469462901878,1,4.615,3738.56333429009,144.864061740599,56.714488321718,462.393929182747,174.827386652134,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,1.78389376029279E-08,-2.5162084454891E-07,0.0147279008898762,2.16306814338213,0,3797.79392918275,
61.5385980536024,0.121274422270427,2.25,0,8.65825593482716,1,4.615,3766.67534237315,143.822072251806,56.7299432359964,469.373986933216,177.466489759202,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,5.94631253430929E-09,-8.45197078669169E-08,0.0168318867312871,2.43636359243672,0,3804.77398693322,
61.9904922336895,0.135899389826822,2.5,0,8.58300441701972,1,4.615,3794.335034328,142.79684814846,56.7391617664549,476.292771564172,180.082425997761,0,100,100,0,1,0,1.5,1.5,1.20741826972573E-06,1.9821041781031E-09,-2.83850837073265E-08,0.018935872572698,2.70965904149131,0,3811.69277156417,
