time,torque,rpm,vel,brake_pos
0.011250349,119.76055,4515.7699,18.915613,0
0.024466945,117.148,4540.4688,19.019071,0
0.037611646,116.48148,4564.8547,19.121219,0
0.050686126,115.82324,4588.9351,19.222086,0
0.063691998,115.17309,4612.7166,19.321702,0
0.076630817,114.53085,4636.2061,19.420095,0
0.089504081,113.89636,4659.4099,19.51729,0
0.10231324,113.26946,4682.3342,19.613315,0
0.11505968,112.64997,4704.9849,19.708195,0
0.12774476,112.03775,4727.368,19.801953,0
0.14036977,111.43265,4749.4889,19.894612,0
0.15293599,110.83452,4771.353,19.986197,0
0.16544462,110.24322,4792.9657,20.076728,0
0.17789685,109.65862,4814.3318,20.166226,0
0.19029382,109.08059,4835.4565,20.254713,45.982812
0.20263662,108.509,4856.3442,20.342207,45.619124
0.21492634,107.94372,4876.9998,20.428729,45.235475
0.22716401,107.38465,4897.4276,20.514297,44.830091
0.23935063,106.83165,4917.632,20.598929,44.400978
0.25148719,106.28462,4937.6171,20.682642,44.263292
0.26357462,105.74345,4957.387,20.765454,42.956897
0.27561384,105.20803,4976.9457,20.847381,41.513201
0.28760576,104.67826,4996.297,20.92844,39.905275
0.29955122,104.15404,5015.4446,21.008645,38.097261
0.31145109,103.63528,5034.3922,21.088013,34.467002
0.32334504,26.286771,5037.1289,21.099476,32.452735
0.33528189,0,5017.9365,21.019083,30.106468
0.34725858,0,4999.9042,20.94355,27.302653
0.35927113,0,4983.2722,20.873882,23.814998
0.37131398,0,4968.3974,20.811574,19.143321
0.38339548,0,4955.8938,20.759199,25.657134
0.39552038,0,4940.041,20.692795,29.174717
0.4076932,0,4922.3587,20.618728,32.411668
0.41991833,0,4902.9792,20.537551,35.430407
0.43220005,0,4882.0026,20.449685,38.271195
0.44453676,0,4859.5079,20.355459,36.569037
0.45692534,0,4837.8457,20.264721,33.777594
0.46936174,0,4817.5907,20.179877,30.393322
0.48184056,0,4799.0631,20.102269,26.093305
0.49435387,0,4782.7546,20.033956,20.097988
0.50688555,0,4769.5675,19.978717,8.2623929
0.51944049,0,4762.5815,19.949455,11.763152
0.53201792,0,4753.7546,19.912481,11.139559
0.54461682,0,4745.2512,19.876862,10.328611
0.55723568,0,4737.171,19.843015,9.2187643
0.56987221,0,4729.6727,19.811607,7.5366369
0.5825158,0,4723.0597,19.783906,0
0.59515939,0.0077150441,4720.4239,19.772865,0
0.60780298,0.0033174732,4717.7881,19.761825,0
0.62045364,30.954274,4722.0315,19.779599,0
0.63312047,36.396339,4727.4941,19.802481,24.78905
0.6458364,0,4711.7616,19.736581,29.378286
0.65860783,0,4693.5695,19.660378,33.451241
0.67144394,0,4673.1736,19.574944,39.259903
0.68435316,0,4649.6265,19.47631,44.328883
0.69734334,0,4623.2927,19.366003,48.772226
0.71042198,0,4594.4766,19.245298,52.734616
0.7235963,0,4563.4062,19.115151,56.309193
0.73687342,0,4530.2604,18.97631,59.56066
0.75025684,0,4495.1834,18.82938,60.386395
0.7637504,0,4459.481,18.67983,61.320645
0.77735815,0,4423.0809,18.527358,62.264387
0.79108437,0,4385.9638,18.371882,63.217104
0.80493356,0,4348.1101,18.213321,64.178254
0.81891051,0,4309.499,18.051587,65.147269
0.8330161,0,4270.1095,17.886593,63.949313
0.84725082,0,4231.1674,17.723473,62.567796
0.86161471,0,4192.7855,17.562699,61.004505
0.87610728,0,4155.0784,17.404752,59.219058
0.89072729,0,4118.1872,17.250222,57.157221
0.90547256,0,4082.2889,17.099852,54.743779
0.92034648,0,4047.609,16.954585,54.958516
0.93535063,0,4012.6,16.807939,54.30979
0.95048647,0,3977.7727,16.662055,53.599017
0.96575526,0,3943.1665,16.517097,52.816659
0.98115811,0,3908.8276,16.373259,51.951077
0.99669004,0,3874.8107,16.230769,48.678132
1.0123502,0,3842.6069,16.095874,47.202617
1.0281372,0,3811.1324,15.964034,45.503067
1.0440483,0,3780.5395,15.835887,43.518813
1.06008,0,3751.022,15.712244,41.161593
1.0762266,0,3722.8341,15.594171,38.29489
1.092498,0,3696.3212,15.483114,40.975586
1.1088951,0,3667.9619,15.364323,40.313862
1.1254181,0,3639.8747,15.246671,39.565994
1.1420672,0,3612.1193,15.13041,38.714528
1.1588419,0,3584.7682,15.015842,37.736757
1.1757497,0,3557.9105,14.903341,39.239196
1.1928014,0,3529.9171,14.786082,41.692672
1.2100085,0,3500.1331,14.661323,44.158755
1.2273835,0,3468.5117,14.528868,46.631811
1.2449396,0,3435.0058,14.388519,49.106501
1.2626813,0,3399.5673,14.240074,48.902039
1.2806134,0,3363.9891,14.091045,48.673822
1.2987407,0,3328.2819,13.941475,48.422295
1.3170679,0,3292.4567,13.79141,48.143729
1.3356001,0,3256.5271,13.640909,47.833626
1.3543398,0,3220.5106,13.490043,46.902478
1.3732849,0,3184.8506,13.340671,44.926407
1.3924308,0,3150.3149,13.196008,42.491928
1.4117693,0,3117.2688,13.057585,39.397451
1.4312711,0,3086.2377,12.927602,32.107177
1.4509284,0,3060.3947,12.819351,29.705864
1.4707283,0,3036.1832,12.717934,26.406003
1.4906482,0,3014.311,12.626316,21.352797
1.5105821,0,2996.1445,12.550221,0
1.530516,0.0034637026,2994.0541,12.541465,0
1.5504499,0.0020868495,2991.9638,12.532709,0
1.570469,0,2989.2318,12.521265,7.7228707
1.5905173,0,2981.3053,12.488062,2.9760895
1.6105796,0,2976.9659,12.469885,2.1073424e-06
1.630642,0.0034208138,2974.8799,12.461148,0
1.6507044,0.0020826348,2972.7939,12.45241,0
1.6707808,14.056262,2975.6655,12.464439,0
1.6908378,10.45593,2977.2622,12.471127,0
1.7108842,9.718182,2978.5967,12.476717,0
1.7309438,2.4485116,2977.3714,12.471584,0
1.7510034,0.0034261549,2975.2854,12.462846,0
1.7710916,0,2973.1431,12.453873,0
1.7911797,0.0034177201,2971.058,12.445139,0
1.8112679,0.0020763746,2968.9729,12.436405,0
1.8313702,16.079513,2972.567,12.45146,0
1.8514481,15.55738,2975.969,12.46571,0
1.8715031,15.375643,2979.2999,12.479662,0
1.8915357,15.320816,2982.6046,12.493505,0
1.9115461,15.309945,2985.8987,12.507303,0
1.9315345,42.149182,2998.6352,12.560654,0
1.9514379,53.182694,3015.1817,12.629963,0
1.9712321,60.246832,3034.092,12.709175,0
1.9909029,65.365456,3054.6462,12.795272,0
2.0104414,89.138734,3083.2664,12.915156,0
2.0297985,101.18654,3115.7283,13.051132,0
2.0489539,110.09223,3150.8468,13.198236,0
2.0678958,117.06886,3187.8843,13.353378,0
2.0866177,122.74488,3226.3401,13.514462,0
2.1051164,141.49407,3270.4654,13.699294,0
2.1233655,141.52075,3313.9547,13.881461,0
2.1413751,141.54602,3356.8331,14.06107,0
2.1591547,141.57001,3399.1243,14.238219,0
2.1767131,141.5928,3440.8503,14.413,0
2.1940585,141.61448,3482.0318,14.5855,0
2.2111989,141.63513,3522.6882,14.755802,0
2.2281413,141.65482,3562.8378,14.92398,0
2.2448929,141.67362,3602.4979,15.090108,0
2.2614601,141.62417,3641.665,15.254171,0
2.277849,140.58379,3680.0669,15.415028,0
2.294067,139.56265,3717.7342,15.572809,0
2.3101206,138.56005,3754.6953,15.727631,0
2.3260162,137.57534,3790.9768,15.879606,0
2.3420641,0,3758.8237,15.744924,59.514917
2.3582755,0,3719.06,15.578362,55.530529
2.3746621,0,3681.5346,15.421176,57.915933
2.3912291,0,3642.1914,15.256376,57.903813
2.4079819,0,3602.5417,15.090292,57.894289
2.4249264,0,3562.5733,14.922872,57.887646
2.4420547,0,3522.2727,14.754061,53.631813
2.4593614,0,3484.4716,14.595721,50.395436
2.4768375,0,3448.5443,14.445228,46.270574
2.4944677,0,3415.1385,14.305299,40.735057
2.512226,0,3385.2755,14.180209,32.551401
2.5301199,0,3360.8461,14.077879,33.829474
2.5481414,0,3335.4047,13.971311,31.026161
2.5662785,0,3311.7714,13.872315,27.259715
2.5845114,0,3290.6487,13.783837,21.630278
2.6027894,0,3273.3795,13.7115,8.4611857
2.6211298,0,3265.299,13.677653,12.749488
2.6395314,0,3254.1945,13.631138,12.330533
2.6579921,0,3243.3628,13.585766,11.665391
2.6765077,0,3232.9799,13.542274,10.522274
2.6950357,0,3223.3878,13.502095,2.1073424e-06
2.7135637,0.003926863,3221.2413,13.493104,0
2.7320917,0.0022048631,3219.0949,13.484113,0
2.750632,24.288661,3224.8629,13.508274,0
2.7691392,25.630183,3231.052,13.534199,0
2.7876109,26.471214,3237.497,13.561196,0
2.8060459,27.024387,3244.1026,13.588865,0
2.8244433,27.400704,3250.8104,13.616963,0
2.8428027,37.903727,3260.894,13.659201,0
2.8611054,44.390765,3273.0295,13.710034,0
2.8793402,48.849572,3286.5423,13.766636,0
2.8975001,52.174261,3301.0517,13.827413,0
2.9155801,54.769523,3316.3115,13.891333,0
2.9335769,69.569079,3336.1895,13.974598,0
2.9514665,80.254189,3359.309,14.071441,0
2.969233,88.244772,3384.7582,14.178042,0
2.9868659,94.582112,3411.9688,14.292022,0
3.0043582,116.48776,3445.7255,14.433421,0
3.0216791,125.67637,3481.9402,14.585117,0
3.0388199,132.99671,3519.9678,14.744407,0
3.0557755,139.02313,3559.3588,14.909407,0
3.0725434,141.67202,3599.0609,15.075711,0
3.0891264,141.69006,3638.2884,15.240027,0
3.1055305,140.67352,3676.7557,15.401158,0
3.1217631,139.65074,3714.4857,15.559202,0
3.1378307,138.64656,3751.5072,15.714276,0
3.1537398,137.66031,3787.8468,15.866495,0
3.1694963,136.69138,3823.5297,16.015964,0
3.1851057,135.73917,3858.5798,16.162781,0
3.2005734,134.80312,3893.0192,16.307041,0
3.2159042,133.8827,3926.8691,16.448831,0
3.2311028,132.97741,3960.1493,16.588235,0
3.2461737,132.08677,3992.8787,16.725331,0
3.2611211,131.21032,4025.0751,16.860195,0
3.275949,130.34763,4056.7554,16.992897,0
3.290661,129.4983,4087.9356,17.123505,0
3.3052608,128.66193,4118.631,17.252081,0
3.3197518,127.83815,4148.856,17.378687,0
3.3341372,127.0266,4178.6245,17.503381,0
3.3484202,126.22693,4207.9496,17.626218,0
3.3626036,125.43884,4236.8439,17.74725,0
3.3766903,124.66199,4265.3193,17.866528,0
3.390683,123.8961,4293.3873,17.984099,0
3.4045841,123.14088,4321.0588,18.100009,0
3.4183963,122.39605,4348.3443,18.214302,0
3.4322275,53.364502,4358.8183,18.258176,73.335111
3.446197,0,4315.0902,18.075008,70.992931
3.4602998,0,4272.4032,17.896201,66.546083
3.4745351,0,4231.9849,17.726897,64.278594
3.4889007,0,4192.6194,17.562003,61.577377
3.5033932,0,4154.578,17.402656,58.295376
3.5180068,0,4118.2247,17.250379,54.201146
3.532733,0,4084.0682,17.107305,48.895472
3.5475744,0,4052.8636,16.976595,49.089835
3.5625282,0,4021.3837,16.844733,46.728452
3.5775904,0,3991.1538,16.718106,43.914642
3.5927548,0,3962.4657,16.597938,40.474628
3.6080131,0,3935.7219,16.485913,36.104564
3.6233526,0,3911.5152,16.384517,30.173345
3.6387763,0,3890.8306,16.297873,31.029044
3.654281,0,3869.5525,16.208744,29.129782
3.6698617,0,3849.3679,16.124195,26.78599
3.6855119,0,3830.5631,16.045425,23.765187
3.7012215,0,3813.5714,15.974251,19.549026
3.7169723,0,3799.1513,15.913848,12.270883
3.7327633,0,3789.2253,15.87227,11.85862
3.7485935,0,3779.5434,15.831714,11.276295
3.7644607,0,3770.2128,15.79263,10.413985
3.7803615,0,3761.4102,15.755758,9.0129417
3.796272,0,3753.4751,15.72252,0
3.8121825,0.0051251971,3751.1746,15.712883,0
3.828093,0.0025273876,3748.874,15.703247,0
3.8440133,42.771232,3758.5455,15.743759,0
3.8598926,53.443768,3771.1686,15.796634,0
3.8757188,60.947789,3785.8309,15.858052,0
3.8914836,66.743724,3802.0341,15.925923,0
3.9071813,71.446249,3819.455,15.998896,0
3.9228074,75.382508,3837.8654,16.076013,0
3.9383585,91.252145,3860.5276,16.17094,0
3.9538183,105.03882,3886.8021,16.280999,0
3.9691737,115.47422,3915.7076,16.402078,0
3.9844156,123.80714,3946.6189,16.531559,0
3.9995382,130.6943,3979.1012,16.66762,0
4.0145374,131.57932,4011.521,16.80342,0
4.0294153,130.71087,4043.4175,16.937028,0
4.0441758,129.85594,4074.8074,17.068513,0
4.0588227,129.01413,4105.706,17.197941,0
4.0733593,128.18507,4136.1282,17.325373,0
4.087789,127.36839,4166.0882,17.450869,0
4.102115,126.56374,4195.5993,17.574485,0
4.1163401,125.77079,4224.6743,17.696274,0
4.1304674,124.98922,4253.3254,17.816288,0
4.1444995,124.21873,4281.5644,17.934575,0
4.158439,123.45903,4309.4023,18.051182,0
4.1722886,122.70984,4336.8498,18.166154,0
4.1860504,121.97089,4363.9173,18.279534,0
4.1997269,121.24192,4390.6143,18.391362,0
4.2133202,120.52269,4416.9504,18.501678,0
4.2268325,119.81297,4442.9345,18.61052,0
4.2402658,119.11251,4468.5753,18.717924,0
4.2538754,0,4443.4293,18.612593,99.917194
4.2676676,0,4385.382,18.369445,99.066258
4.2816502,0,4327.2945,18.126129,99.564868
4.2958092,0,4268.3859,17.879373,88.689773
4.310146,0,4215.194,17.656563,86.286271
4.3246594,0,4162.9361,17.437666,82.780373
4.3393436,0,4112.2806,17.225481,77.279866
4.3541827,0,4064.4483,17.025121,67.582068
4.3691733,0,4022.0141,16.847373,64.085412
4.3843138,0,3981.3705,16.677126,61.613859
