time,torque,rpm,vel
0.0112566128,23838.4225,3502.22654,19.0174906
0.0244024061,20348.3088,3521.78206,19.1236793
0.0374752043,20382.9802,3541.068,19.2284041
0.0504768033,20417.3243,3560.09091,19.3317007
0.0634089298,20451.3474,3578.85705,19.433603
0.0762732453,20485.0552,3597.37249,19.534144
0.089071349,20518.4537,3615.64305,19.6333552
0.101804781,20551.5481,3633.67433,19.7312671
0.114475027,20584.3439,3651.47175,19.8279091
0.127083517,20616.846,3669.04053,19.9233096
0.139631633,20649.0594,3686.38569,20.0174958
0.152120708,20680.9889,3703.51209,20.1104941
0.164552028,20712.6391,3720.42445,20.2023301
0.176926839,20744.0143,3737.12728,20.2930284
0.18924634,20775.1189,3753.62498,20.3826128
0.201511696,20805.9571,3769.92179,20.4711064
0.213724031,20836.5328,3786.02182,20.5585314
0.225884433,20866.8499,3801.92905,20.6449094
0.237993955,20896.9124,3817.64732,20.7302614
0.25005362,20926.7238,3833.18036,20.8146077
0.262064416,20956.2878,3848.5318,20.8979677
0.274027301,20985.6078,3863.70513,20.9803606
0.285943207,21014.6872,3878.70376,21.0618049
0.297813035,21043.5292,3893.531,21.1423185
0.30966167,21010.6041,3901.20588,21.183994
0.321555624,20841.5907,3885.6412,21.099476
0.333492473,20822.945,3870.83624,21.0190834
0.345469163,20807.9174,3856.92613,20.9435499
0.357481709,20797.6346,3844.09618,20.8738818
0.369524562,20794.2225,3832.62175,20.8115744
0.381606062,20773.1193,3822.97649,20.7591995
0.393730962,20726.8356,3810.7476,20.6927952
0.405903786,20685.6818,3797.10749,20.6187278
0.418128913,20643.2516,3782.15817,20.5375514
0.43041063,20599.4771,3765.97683,20.4496848
0.442747341,20564.0574,3748.62443,20.3554593
0.455135921,20543.227,3731.91418,20.2647207
0.467572328,20528.4968,3716.28943,20.1798766
0.480051142,20519.8544,3701.9973,20.1022687
0.492564457,20520.5042,3689.41688,20.0339555
0.505096128,20542.928,3679.24434,19.9787175
0.517651068,20553.1531,3673.85539,19.9494548
0.530228506,20533.9811,3667.04627,19.9124805
0.542827398,20525.4408,3660.48676,19.8768617
0.555446264,20518.6418,3654.2537,19.8430154
0.568082798,20514.6937,3648.46951,19.8116066
0.580726387,20526.7852,3643.36822,19.783906
0.593369977,20552.3515,3641.33498,19.7728653
0.606013567,20560.189,3639.30174,19.7618246
0.618664221,20566.7339,3642.57511,19.7795993
0.631331055,20529.7138,3646.78897,19.8024811
0.644046986,20402.9416,3634.65292,19.736581
0.656818415,20357.4062,3620.61947,19.6603777
0.669654522,20305.9833,3604.88609,19.5749437
0.682563742,20247.8422,3586.72191,19.4763101
0.695553928,20189.083,3566.40798,19.3660031
0.708632558,20129.573,3544.17923,19.2452985
0.721806879,20069.1199,3520.21157,19.1151513
0.735084002,20007.648,3494.64286,18.9763103
0.748467421,19950.4485,3467.58444,18.82938
0.761960981,19898.047,3440.04362,18.6798302
0.775568732,19844.7184,3411.96457,18.5273578
0.789294949,19790.6813,3383.3325,18.3718823
0.803144147,19735.9259,3354.1321,18.2133208
0.817121096,19680.4418,3324.34755,18.0515873
0.831226684,19630.0093,3293.96244,17.8865927
0.845461398,19586.0666,3263.92255,17.7234726
0.859825292,19544.2166,3234.31475,17.5626989
0.874317859,19504.7143,3205.22746,17.4047516
0.888937868,19467.9843,3176.76962,17.2502223
0.903683142,19434.5888,3149.07762,17.0998516
0.918557066,19396.3858,3122.32559,16.954585
0.933561217,19354.6487,3095.31962,16.8079395
0.948697049,19315.6049,3068.45384,16.6620552
0.963965848,19277.5272,3041.75861,16.5170971
0.979368692,19240.5299,3015.26961,16.3732587
0.994900622,19211.8816,2989.02898,16.2307692
1.01056082,19185.6531,2964.18699,16.0958743
1.02634775,19157.3369,2939.90754,15.9640341
1.04225891,19131.8207,2916.30815,15.8358867
1.05829054,19109.7581,2893.53841,15.7122444
1.07443716,19092.0953,2871.79419,15.5941708
1.09070863,19059.4158,2851.34215,15.4831139
1.10710565,19023.6113,2829.46578,15.3643227
1.12362866,18996.0261,2807.79932,15.2466714
1.14027775,18969.6047,2786.38882,15.1304099
1.15705251,18944.5505,2765.29019,15.0158419
1.1739603,18911.8022,2744.57215,14.9033406
1.19101197,18869.0043,2722.97805,14.7860822
1.20821909,18822.0787,2700.00265,14.6613231
1.22559405,18773.0509,2675.60991,14.5288678
1.24315014,18721.9021,2649.76348,14.3885187
1.26089191,18678.8404,2622.42624,14.2400743
1.27882401,18641.8354,2594.98119,14.0910446
1.29695124,18605.1243,2567.43668,13.9414748
1.31527846,18568.7373,2539.80106,13.7914102
1.33381065,18532.7208,2512.08498,13.6409087
1.35255034,18499.5776,2484.30191,13.4900434
1.37149546,18472.989,2456.79373,13.3406709
1.39064142,18452.3355,2430.15295,13.1960084
1.40997989,18437.6876,2404.66115,13.057585
1.42948165,18445.9679,2380.72378,12.9276024
1.44913893,18447.2094,2360.78847,12.8193513
1.46893885,18444.132,2342.11172,12.7179345
1.48885882,18453.8669,2325.2395,12.6263164
1.50879269,18547.7166,2311.22587,12.5502207
1.52872657,18604.4544,2309.61336,12.5414647
1.54866044,18615.6198,2308.00086,12.5327086
1.56867956,18549.1019,2305.89344,12.521265
1.58872786,18549.8127,2299.7789,12.4880624
1.60879022,18570.1715,2296.43147,12.4698855
1.62885258,18587.715,2294.82235,12.4611478
1.64891494,18598.9405,2293.21323,12.4524101
1.66899137,18584.3711,2295.42838,12.4644386
1.68904843,18590.1659,2296.66008,12.4711269
1.70909473,18592.2388,2297.68948,12.4767166
1.72915436,18579.2796,2296.74432,12.4715843
1.74921398,18588.0678,2295.13514,12.4628462
1.76930215,18573.0102,2293.4826,12.4538728
1.78939031,18584.3913,2291.87416,12.4451387
1.80947848,18595.6289,2290.26571,12.4364047
1.82958075,18579.1448,2293.03818,12.4514595
1.84965872,18582.8096,2295.6625,12.4657099
1.86971373,18585.9954,2298.23192,12.4796621
1.88974633,18589.0056,2300.78118,12.4935049
1.90975672,18591.9558,2303.32229,12.5073034
1.92974504,18571.1512,2313.14716,12.5606536
1.94964847,18573.4664,2325.91115,12.6299635
1.96944267,18583.214,2340.4986,12.709175
1.98911349,18597.2128,2356.3541,12.7952722
2.00865196,18598.5552,2378.4317,12.9151561
2.02800906,18618.3758,2403.47284,13.0511323
2.04716449,18645.4159,2430.56326,13.1982364
2.06610641,18677.4043,2459.13392,13.3533784
2.08482827,18713.0142,2488.79876,13.5144619
2.10332697,18732.0947,2527.84896,13.7265089
2.1215399,18789.2296,2565.9398,13.9333465
2.13948247,18845.3464,2603.0481,14.1348488
2.15716925,18900.2473,2639.22636,14.3313009
2.17461359,18954.0166,2674.52261,14.5229636
2.1918277,19006.7285,2708.98091,14.7100761
2.20882286,19058.4487,2742.6418,14.8928586
2.22560943,19109.2357,2775.54269,15.0715142
2.24219701,19159.1419,2807.71819,15.2462308
2.25859451,19208.2142,2839.2004,15.4171828
2.27481018,19256.495,2870.01912,15.584532
2.29085173,19304.0226,2900.20214,15.7484293
2.30672632,19350.832,2929.77537,15.9090152
2.32260446,19210.2661,2931.52051,15.9184915
2.33865236,19016.8135,2899.55657,15.7449237
2.35486383,18990.4424,2868.88291,15.5783622
2.37125042,18947.862,2839.93582,15.4211762
2.38781737,18897.3619,2809.58642,15.2563755
2.40457017,18852.1249,2779.0007,15.0902916
2.42151466,18806.8457,2748.16903,14.9228721
2.43864297,18776.8453,2717.08114,14.7540613
2.45594972,18756.0389,2687.92139,14.5957205
2.47342576,18739.0489,2660.20704,14.4452284
2.49105597,18732.8061,2634.43786,14.3052988
2.50881433,18744.384,2611.40152,14.1802088
2.52670814,18731.644,2592.55671,14.0778794
2.54472964,18713.3661,2572.93118,13.9713105
2.56286683,18710.0244,2554.70043,13.8723155
2.5810997,18719.2327,2538.40639,13.7838369
2.59937769,18767.2383,2525.08498,13.7115002
2.61771805,18770.4421,2518.85168,13.6776526
2.63611966,18752.016,2510.28564,13.6311381
2.65458037,18745.0677,2501.93003,13.5857661
2.67309602,18741.1152,2493.92067,13.5422744
2.691624,18777.7947,2486.52135,13.5020952
2.71015198,18810.9788,2484.86557,13.4931042
2.72867997,18821.4967,2483.2098,13.4841132
2.7472203,18804.7809,2487.65921,13.5082739
2.76572748,18809.5534,2492.43354,13.5341991
2.7841992,18815.0562,2497.40517,13.5611957
2.80263416,18820.9972,2502.50072,13.5888651
2.82103157,18827.2155,2507.67514,13.6169627
2.83939102,18827.8038,2515.45361,13.6592007
2.85769371,18834.1789,2524.81496,13.7100339
2.87592853,18843.8875,2535.23872,13.7666362
2.89408837,18855.7399,2546.4313,13.8274131
2.9121684,18869.1189,2558.20266,13.891333
2.93016523,18877.3469,2573.5366,13.974598
2.94805483,18892.9271,2591.37097,14.0714407
2.96582132,18913.6921,2611.00249,14.1780421
2.98345422,18938.1442,2631.99276,14.2920216
3.00094649,18958.7509,2658.03263,14.4334211
3.0182674,18992.6637,2685.9687,14.5851172
3.03540817,19030.7563,2715.30314,14.7444065
3.05236375,19072.0222,2745.68936,14.9094072
3.06913168,19115.778,2776.87511,15.0787494
3.08571131,19161.1687,2809.0216,15.2533085
3.1021012,19210.2078,2840.47604,15.4241097
3.11830959,19258.457,2871.26819,15.5913146
3.13434416,19305.9546,2901.42572,15.7550734
3.15021206,19352.7351,2930.97449,15.9155266
3.16591999,19398.8304,2959.93864,16.0728053
3.18147421,19444.2693,2988.34082,16.2270323
3.1968806,19489.0783,3016.20224,16.3783231
3.21214468,19533.282,3043.54286,16.5267858
3.22727164,19576.9028,3070.38146,16.6725224
3.24226637,19619.9617,3096.73572,16.815629
3.25713349,19662.478,3122.62234,16.9561964
3.27187737,19704.4697,3148.05712,17.0943101
3.28650212,19745.9536,3173.05497,17.2300513
3.30101165,19786.9453,3197.63005,17.3634968
3.31540967,19827.4597,3221.79577,17.4947194
3.3296997,19867.5103,3245.56488,17.6237884
3.34388507,19907.1103,3268.94947,17.7507694
3.35796897,19946.2717,3291.96107,17.875725
3.37195441,19985.006,3314.61066,17.9987149
3.38584429,20023.3242,3336.90868,18.1197957
3.39964136,20061.2365,3358.86512,18.2390217
3.41334823,20098.7527,3380.48952,18.3564446
3.42717949,19785.1875,3362.39247,18.2581756
3.44114893,19651.4675,3328.66062,18.0750078
3.4552518,19612.7244,3295.73186,17.8962008
3.46948707,19576.5856,3264.55315,17.7268969
3.4838527,19538.5475,3234.18661,17.5620031
3.49834513,19505.3427,3204.84146,17.4026556
3.51295877,19478.4281,3176.79853,17.2503793
3.52768493,19460.1171,3150.45019,17.1073047
3.54252636,19432.9669,3126.37899,16.9765954
3.55748021,19400.7315,3102.09538,16.8447326
3.57254232,19377.4963,3078.77601,16.7181058
3.58770678,19359.3944,3056.64608,16.5979377
3.60296509,19348.2178,3036.01588,16.4859134
3.61830452,19347.2746,3017.34282,16.3845165
3.63372829,19333.6248,3001.3867,16.297873
3.64923294,19312.6816,2984.97281,16.2087437
3.66481371,19300.7436,2969.40242,16.1241947
3.68046389,19293.7157,2954.89641,16.0454254
3.69617348,19294.2521,2941.789,15.9742506
3.71192422,19310.2894,2930.66535,15.9138479
3.72771531,19316.6025,2923.00841,15.8722699
3.74354548,19308.5141,2915.53976,15.8317143
3.75941269,19302.1325,2908.34215,15.7926304
3.77531345,19298.7361,2901.55184,15.7557583
3.79122396,19322.0836,2895.4307,15.7225198
3.80713447,19351.3971,2893.65606,15.7128833
3.82304499,19360.7446,2891.88142,15.7032468
3.83896526,19352.0107,2899.34201,15.7437586
3.85484457,19361.4451,2909.07943,15.7966339
3.87067072,19374.8318,2920.38999,15.8580516
3.88643559,19390.9371,2932.88908,15.9259231
3.90213326,19409.112,2946.32762,15.9988959
3.91775934,19428.9454,2960.52933,16.0760128
3.93331046,19449.15,2978.01097,16.1709401
3.94877029,19475.043,2998.27913,16.2809985
3.96412562,19505.9852,3020.57683,16.4020776
3.97936759,19540.7023,3044.42181,16.5315585
3.99449018,19578.3904,3069.4787,16.6676203
4.00948932,19618.5094,3095.84911,16.8108147
4.0243607,19661.0438,3121.75135,16.9514668
4.03910869,19703.053,3147.2012,17.0896624
4.05373741,19744.5539,3172.21365,17.2254828
4.06825079,19785.5621,3196.80285,17.359005
4.08265254,19826.0924,3220.98225,17.4903019
4.09694618,19866.1586,3244.76461,17.6194429
4.11113505,19905.7736,3268.16206,17.7464937
4.12522234,19944.9497,3291.18614,17.8715171
4.13921108,19983.6984,3313.84784,17.9945727
4.15310416,20022.0305,3336.15763,18.1157174
4.16690433,20059.9565,3358.1255,18.2350055
4.18061422,20097.4859,3379.76101,18.3524888
4.19423635,20134.6282,3401.07328,18.4682168
4.20777312,20171.3921,3422.07103,18.582237
4.22122683,20207.786,3442.76261,18.6945946
4.23459968,20243.8179,3463.15602,18.8053332
4.24820924,19736.4875,3427.66133,18.6125929
4.26200148,19611.4089,3382.88371,18.3694453
4.27598407,19533.8461,3338.07497,18.1261288
4.29014311,19483.1698,3292.63291,17.8793732
4.3044799,19444.7454,3251.60061,17.6565631
4.31899328,19392.0773,3211.28891,17.437666
4.33367746,19350.5277,3172.21325,17.2254807
4.34851657,19330.1857,3135.31538,17.025121
4.36350716,19309.3129,3102.58166,16.8473732
4.37864773,19274.314,3071.2292,16.6771257
4.39393524,19240.6139,3040.80811,16.5119357
4.40936454,19212.7052,3011.57935,16.3532202
4.42492735,19192.6282,2983.90344,16.2029369
4.44062274,19168.8644,2958.3053,16.063936
4.45644746,19142.0187,2933.31627,15.9282427
4.47239659,19120.5701,2909.34418,15.7980716
4.48846288,19104.8795,2886.64916,15.674835
4.50463,19103.7765,2865.59799,15.5605248
4.52089921,19092.9861,2847.72708,15.4634836
4.53727176,19067.9454,2829.85734,15.366449
4.55374883,19043.1745,2811.99733,15.269467
4.5703316,19018.7077,2794.15714,15.1725928
4.58701853,18997.564,2776.34884,15.0758916
4.60380377,18983.9847,2759.01931,14.9817903
4.62067879,18977.9711,2742.85834,14.8940344
4.6376303,18980.9655,2728.2657,14.8147947
4.65463233,19004.0082,2715.95573,14.7479502
4.67170333,18991.2418,2707.88589,14.70413
4.68884625,18961.6417,2696.94396,14.6447141
4.70606452,18941.864,2685.63011,14.5832786
4.72336211,18920.764,2673.87828,14.5194648
4.74073182,18911.0244,2661.61619,14.4528802
4.75817057,18905.5719,2650.56553,14.3928739
4.77567357,18899.9312,2640.07051,14.3358848
4.7932327,18899.8995,2630.38016,14.283265
4.81080316,18942.8623,2621.97312,14.2376138
4.82837363,18980.8974,2620.28042,14.2284223
4.84594409,18990.9839,2618.58773,14.2192308
4.86352592,18968.1164,2628.44788,14.2727725
4.88104178,18977.5673,2640.46671,14.3380361
4.89847792,18991.2851,2653.99384,14.41149
4.91582519,19007.9069,2668.65227,14.491087
4.93307718,19004.6235,2698.75227,14.6545334
4.95045264,18747.7492,2695.9727,14.63944
4.96814679,18490.7523,2649.68661,14.3881012
4.98617992,18412.8273,2601.96469,14.1289658
5.00457436,18334.8437,2553.05442,13.8633774
5.02335484,18255.4626,2502.90456,13.591058
5.04257925,18145.7547,2451.45768,13.3116955
5.06227077,18052.9687,2394.84827,13.0042999
